Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
1958,1,Chantilly Lace,Big Bopper,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1738,6,22
1958,2,It's All In The Game,Tommy Edwards,Pop,https://charts-static.billboard.com/img/1958/08/tommy-edwards-000-itsallinthegame-bi3-180x180.jpg,1712,1,20
1958,3,Rock-in Robin,Bobby Day,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1657,2,21
1958,4,Bird Dog,The Everly Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1460,2,18
1958,5,Topsy II,Cozy Cole,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1428,3,19
1958,6,Little Star,The Elegants,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1406,1,17
1958,7,The Day The Rains Came,Jane Morgan,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1395,21,24
1958,8,It's Only Make Believe,Conway Twitty,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1393,1,16
1958,9,Tears On My Pillow,Little Anthony And The Imperials,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1383,4,19
1958,10,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1371,7,18
1958,11,Susie Darlin',Robin Luke,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1355,5,17
1958,12,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1352,1,16
1958,13,The End,Earl Grant,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1254,7,16
1958,14,Tom Dooley,The Kingston Trio,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1239,1,14
1958,15,Just A Dream,Jimmy Clanton And His Rockets,Hip-Hop/Rap,https://cdn-images.dzcdn.net/images/cover/94628c647146cd8fdf64f8921f73d305/250x250-000000-80-0-0.jpg,1238,4,15
1958,16,You Cheated,The Shields,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/89/f4/0d/89f40d0c-01b5-57ae-00c3-028f85b56422/mzi.beceayup.jpg/100x100bb.jpg,1230,15,28
1958,17,"To Know Him, Is To Love Him",The Teddy Bears,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1187,1,15
1958,18,Summertime Blues,Eddie Cochran,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1138,8,16
1958,19,Near You,Roger Williams,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1105,10,17
1958,20,Born Too Late,Poni-Tails,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1064,7,14
1958,21,My True Love,Jack Scott,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1060,3,14
1958,22,Patricia,Perez Prado And His Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1056,2,14
1958,23,Devoted To You,The Everly Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1039,10,14
1958,24,I Got A Feeling,Ricky Nelson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,970,10,12
1958,25,How The Time Flies,Jerry Wallace,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,965,11,16
1958,26,Queen Of The Hop,Bobby Darin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,950,9,13
1958,27,Lonesome Town,Ricky Nelson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,929,7,11
1958,28,Pussy Cat,The Ames Brothers,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,927,17,14
1958,29,Mexican Hat Rock,The Applejacks,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,926,16,15
1958,30,Poor Little Fool,Ricky Nelson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,902,1,11
1958,31,Western Movies,The Olympics,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,899,8,12
1958,32,Early In The Morning,The Rinky-Dinks,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,889,24,16
1958,33,There Goes My Heart,Joni James,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,880,19,16
1958,34,Call Me,Johnny Mathis,Electronic/Dance,https://charts-static.billboard.com/img/1980/02/blondie-000-callme-0nh-180x180.jpg,879,21,14
1958,35,Fever,Peggy Lee,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,876,8,12
1958,36,Everybody Loves A Lover,Doris Day,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,863,14,12
1958,37,Are You Really Mine,Jimmie Rodgers,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,861,10,13
1958,38,A Lover's Question,Clyde McPhatter,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,859,9,12
1958,39,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,846,22,14
1958,40,Stupid Cupid,Connie Francis,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,845,17,13
1958,41,Forget Me Not,Kalin Twins,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,844,12,14
1958,42,No One Knows,Dion & The Belmonts,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,842,24,16
1958,43,Hideaway,The Four Esquires,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,809,21,15
1958,44,Win Your Love For Me,Sam Cooke,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,798,33,17
1958,45,Beep Beep,The Playmates,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,796,4,9
1958,46,Poor Boy,The Royaltones,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,777,17,11
1958,47,Firefly,Tony Bennett,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,774,20,13
1958,48,Ginger Bread,Frankie Avalon,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,770,9,11
1958,49,Ten Commandments Of Love,Harvey & The Moonglows,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,770,22,16
1958,50,Volare (Nel Blu Dipinto Di Blu),Dean Martin,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,764,15,13
1958,51,Need You,Donnie Owens,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,763,25,13
1958,52,I Got Stung,Elvis Presley,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,755,8,9
1958,53,Willie And The Hand Jive,The Johnny Otis Show,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,747,9,10
1958,54,Itchy Twitchy Feeling,Bobby Hendricks,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,737,25,15
1958,55,One Night,Elvis Presley,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,733,4,8
1958,56,I'll Wait For You,Frankie Avalon,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,704,15,11
1958,57,Problems,The Everly Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,673,2,8
1958,58,The Secret,Gordon MacRae,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,670,18,13
1958,59,Love Is All We Need,Tommy Edwards,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,669,15,10
1958,60,"Promise Me, Love",Andy Williams,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,665,17,12
1958,61,When,Kalin Twins,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,663,5,9
1958,62,Treasure Of Your Love,Eileen Rodgers,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,661,26,15
1958,63,Down The Aisle Of Love,The Quin-Tones,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,655,20,12
1958,64,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,650,6,8
1958,65,The World Outside,The Four Coins,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,650,21,15
1958,66,A Letter To An Angel,Jimmy Clanton,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,636,25,11
1958,67,Carol,Chuck Berry,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,610,18,10
1958,68,For My Good Fortune,Pat Boone,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,610,23,11
1958,69,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,Pop,https://charts-static.billboard.com/img/2019/09/zachbryan-bqn-180x180.jpg,606,15,9
1958,70,If Dreams Came True,Pat Boone,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,604,12,10
1958,71,She Was Only Seventeen (He Was One Year More),Marty Robbins,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,602,27,13
1958,72,Splish Splash,Bobby Darin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,582,3,8
1958,73,Lazy Summer Night,The Four Preps,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,575,21,10
1958,74,Bimbombey,Jimmie Rodgers,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,566,11,8
1958,75,One Summer Night,The Danleers,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,559,16,8
1958,76,Topsy I,Cozy Cole,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,558,27,13
1958,77,I'll Remember Tonight,Pat Boone,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,537,34,10
1958,78,Walking Along,The Diamonds,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,528,29,10
1958,79,Smoke Gets In Your Eyes,The Platters,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,528,2,7
1958,80,"Summertime, Summertime",The Jamies,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,526,26,11
1958,81,A Certain Smile,Johnny Mathis,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,523,22,9
1958,82,Hard Headed Woman,Elvis Presley With The Jordanaires,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,509,4,8
1958,83,Moon Talk,Perry Como,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,509,29,9
1958,84,That Old Black Magic,Louis Prima And Keely Smith,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,505,18,9
1958,85,Whole Lotta Loving,Fats Domino,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,498,10,7
1958,86,La-Do-Dada,Dale Hawkins,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,486,32,12
1958,87,Put A Ring On My Finger,Les Paul And Mary Ford,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,478,32,10
1958,88,La Paloma,Billy Vaughn And His Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,477,26,10
1958,89,With Your Love,Jack Scott,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,472,28,10
1958,90,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,466,13,7
1958,91,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,461,24,11
1958,92,Over And Over,Bobby Day,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,457,41,12
1958,93,Non Dimenticar (Don't Forget),Nat King Cole,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,454,45,11
1958,94,Come Closer To Me (Acercate Mas),Nat King Cole,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,444,41,9
1958,95,The Mocking Bird,The Four Lads,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,440,32,9
1958,96,Yakety Yak,The Coasters,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,435,7,7
1958,97,This Little Girl's Gone Rockin',Ruth Brown,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,434,24,10
1958,98,Love Makes The World Go 'round,Perry Como,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,433,33,10
1958,99,The Blob,The Five Blobs,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,426,33,10
1958,100,Mr. Success,Frank Sinatra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,425,41,10
1959,1,The Battle Of New Orleans,Johnny Horton,Pop,https://cdn-images.dzcdn.net/images/cover/08c21d5468466abe2c24fad5332e0ef9/250x250-000000-80-0-0.jpg,1752,1,23
1959,2,Mack The Knife,Bobby Darin,Pop,https://cdn-images.dzcdn.net/images/cover/2a8e68501565e242cd50b8b3926cb352/250x250-000000-80-0-0.jpg,1746,1,19
1959,3,My Heart Is An Open Book,"Carl Dobkins, Jr.",Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1609,3,24
1959,4,Mr. Blue,The Fleetwoods,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1510,1,17
1959,5,Come Softly To Me,The Fleetwoods,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1487,1,22
1959,6,Primrose Lane,Jerry Wallace With The Jewels,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1470,8,20
1959,7,Personality,Lloyd Price and His Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1465,2,19
1959,8,Put Your Head On My Shoulder,Paul Anka,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1457,2,18
1959,9,Kansas City,Wilbert Harrison,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1443,1,27
1959,10,Donna,Ritchie Valens,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/08/bb/23/08bb23ae-ff61-5a82-4ff7-c649cda74ca6/mzi.fewiedaj.jpg/100x100bb.jpg,1422,2,17
1959,11,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1409,11,19
1959,12,Stagger Lee,Lloyd Price,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1400,1,17
1959,13,Mona Lisa,Conway Twitty,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1391,25,28
1959,14,Pink Shoe Laces,Dodie Stevens,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1390,3,19
1959,15,What A Diff'rence A Day Makes,Dinah Washington,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1388,8,20
1959,16,The Three Bells,The Browns,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1387,1,17
1959,17,There Goes My Baby,The Drifters,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1361,2,19
1959,18,Sea Of Love,Phil Phillips With The Twilights,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1358,2,18
1959,19,Dream Lover,Bobby Darin,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1353,2,17
1959,20,Venus,Frankie Avalon,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1349,1,17
1959,21,Danny Boy,Conway Twitty,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1343,10,26
1959,22,Lonely Boy,Paul Anka,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1343,1,15
1959,23,The Happy Organ,"Dave ""Baby"" Cortez",Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1321,1,17
1959,24,Sleep Walk,Santo & Johnny,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1320,1,18
1959,25,Lavender-Blue,Sammy Turner,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1314,3,18
1959,26,It's Just A Matter Of Time,Brook Benton,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1304,3,18
1959,27,Tragedy,Thomas Wayne With the Delons,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1292,5,19
1959,28,Red River Rock,Johnny And The Hurricanes,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1292,5,17
1959,29,('til) I Kissed You,The Everly Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1288,4,16
1959,30,Lipstick On Your Collar,Connie Francis,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1281,5,17
1959,31,I Cried A Tear,LaVern Baker,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1277,6,17
1959,32,Robbin' The Cradle,Tony Bellus,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1268,25,26
1959,33,Don't You Know,Della Reese,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1266,2,15
1959,34,16 Candles,The Crests,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1256,2,15
1959,35,Sorry (I Ran All The Way Home),The Impalas,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1254,2,18
1959,36,Tell Him No,Travis & Bob,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1226,8,21
1959,37,Peter Gunn,Ray Anthony and His Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1223,8,17
1959,38,Charlie Brown,The Coasters,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1215,2,15
1959,39,Lonely Street,Andy Williams,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1212,5,16
1959,40,Teen Beat,Sandy Nelson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1208,4,16
1959,41,Guitar Boogie Shuffle,The Virtues,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1205,5,16
1959,42,Broken-Hearted Melody,Sarah Vaughan,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1196,7,19
1959,43,Quiet Village,The Exotic Sounds of Martin Denny,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1190,4,16
1959,44,A Teenager In Love,Dion & The Belmonts,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1185,5,15
1959,45,Deck Of Cards,Wink Martindale,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1174,7,16
1959,46,Waterloo,Stonewall Jackson,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1161,4,16
1959,47,Never Be Anyone Else But You,Ricky Nelson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1153,6,16
1959,48,I'm Gonna Get Married,Lloyd Price,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1146,3,14
1959,49,Poison Ivy,The Coasters,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1146,7,16
1959,50,You're So Fine,The Falcons,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1138,17,20
1959,51,Lonely Teardrops,Jackie Wilson,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1135,7,15
1959,52,The Enchanted Sea,The Islanders,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1130,15,21
1959,53,Makin' Love,Floyd Robinson,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1113,20,18
1959,54,The All American Boy,Bill Parsons,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1112,2,14
1959,55,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/10/53/1d/10531d93-d6d2-996d-516f-5ea58bc4dbfa/884977724691.jpg/100x100bb.jpg,1109,2,15
1959,56,In The Mood,Ernie Fields & Orch.,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1108,4,15
1959,57,I've Had It,The Bell Notes,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1107,6,16
1959,58,Since I Don't Have You,The Skyliners,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1098,12,19
1959,59,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1098,9,16
1959,60,Frankie,Connie Francis,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1091,9,15
1959,61,So Fine,The Fiestas,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1090,11,16
1959,62,Just Ask Your Heart,Frankie Avalon,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1087,7,16
1959,63,A Big Hunk O' Love,Elvis Presley With The Jordanaires,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1083,1,14
